id_municipio,uf,municipio,longitude,latitude,file_name
366,BA,Ilhéus,-39.04602,-14.793045,ilheus_ba.png
367,BA,Inhambupe,-38.355048,-11.780955,inhambupe_ba.png
368,BA,Ipecaetá,-39.306921,-12.302846,ipecaeta_ba.png
369,BA,Ipiaú,-39.735252,-14.12263,ipiau_ba.png
370,BA,Ipirá,-39.735941,-12.156057,ipira_ba.png
371,BA,Ipupiara,-42.617913,-11.821881,ipupiara_ba.png
372,BA,Irajuba,-40.08482,-13.256331,irajuba_ba.png
373,BA,Iramaia,-40.959471,-13.290186,iramaia_ba.png
374,BA,Iraquara,-41.615504,-12.24288,iraquara_ba.png
375,BA,Irará,-38.763139,-12.050449,irara_ba.png
376,BA,Irecê,-41.853462,-11.303317,irece_ba.png
377,BA,Itabela,-39.559318,-16.573188,itabela_ba.png
378,BA,Itaberaba,-40.305897,-12.524182,itaberaba_ba.png
379,BA,Itabuna,-39.278056,-14.787573,itabuna_ba.png
380,BA,Itacaré,-38.99591,-14.278422,itacare_ba.png
381,BA,Itaeté,-40.96774,-12.983121,itaete_ba.png
382,BA,Itagi,-40.013112,-14.1615,itagi_ba.png
383,BA,Itagibá,-39.844945,-14.278239,itagiba_ba.png
384,BA,Itagimirim,-39.613317,-16.081919,itagimirim_ba.png
385,BA,Itaguaçu da Bahia,-42.399671,-11.014672,itaguacu_da_bahia_ba.png
386,BA,Itaju do Colônia,-39.728298,-15.136598,itaju_do_colonia_ba.png
387,BA,Itajuípe,-39.369823,-14.678766,itajuipe_ba.png
388,BA,Itamaraju,-39.538569,-17.03782,itamaraju_ba.png
389,BA,Itamari,-39.682959,-13.778192,itamari_ba.png
390,BA,Itambé,-40.629955,-15.242913,itambe_ba.png
391,BA,Itanagra,-38.043595,-12.261435,itanagra_ba.png
392,BA,Itanhém,-40.332139,-17.164207,itanhem_ba.png
393,BA,Itaparica,-38.67995,-12.893205,itaparica_ba.png
395,BA,Itapebi,-39.532863,-15.955063,itapebi_ba.png
396,BA,Itapetinga,-40.248236,-15.247533,itapetinga_ba.png
